oldtrade,sell
oldtrade,buy,8400,Linen
wait,500
teleport,Harbor Manager Gale,Pirate Morgun
wait,500
walk,-8703,2241,-3
walk,-8675,2260,8
walk,-8652,2268,21
walk,-8620,2273,0
walk,-8579,2271,0
walk,-8540,2277,13
walk,-8503,2285,18
walk,-8466,2296,7
walk,-8435,2297,14
walk,-8392,2291,34
walk,-8367,2296,52
walk,-8332,2296,62
walk,-8294,2302,61
walk,-8254,2305,63
walk,-8229,2304,88
walk,-8189,2304,107
walk,-8150,2304,132
walk,-8116,2303,167
walk,-8080,2303,179
walk,-8033,2305,179
walk,-7982,2306,171
walk,-7937,2312,176
walk,-7905,2323,202
walk,-7870,2356,168
walk,-7853,2384,188
walk,-7832,2413,185
walk,-7801,2440,180
walk,-7770,2462,180
walk,-7729,2457,180
walk,-7708,2440,200
walk,-7674,2428,217
walk,-7637,2414,222
walk,-7595,2398,263
walk,-7562,2384,308
walk,-7514,2358,320
walk,-7489,2327,333
walk,-7475,2295,358
walk,-7451,2260,369
walk,-7405,2229,349
walk,-7362,2226,313
walk,-7313,2211,236
walk,-7270,2195,209
walk,-7230,2188,197
walk,-7192,2189,181
walk,-7143,2195,180
walk,-7093,2216,178
walk,-7049,2235,187
walk,-7010,2249,203
walk,-6990,2285,206
walk,-6976,2326,199
walk,-6951,2361,194
walk,-6932,2370,206
walk,-6894,2377,218
walk,-6860,2385,224
walk,-6819,2391,236
walk,-6775,2397,231
walk,-6724,2404,197
walk,-6688,2409,188
walk,-6648,2400,189
walk,-6602,2405,191
walk,-6562,2418,202
walk,-6513,2439,192
walk,-6466,2442,205
walk,-6427,2439,241
walk,-6379,2439,230
walk,-6326,2444,189
walk,-6281,2445,180
walk,-6234,2440,185
walk,-6196,2435,187
walk,-6147,2440,178
walk,-6097,2446,179
walk,-6051,2447,179
walk,-5996,2458,173
walk,-5940,2486,175
walk,-5896,2493,175
walk,-5864,2495,162
walk,-5830,2488,159
walk,-5794,2484,173
walk,-5747,2491,180
walk,-5710,2516,202
walk,-5682,2543,204
walk,-5647,2575,172
walk,-5616,2616,182
walk,-5595,2653,201
walk,-5583,2690,249
walk,-5571,2733,254
walk,-5539,2771,198
walk,-5504,2803,143
walk,-5472,2826,147
walk,-5439,2851,177
walk,-5404,2890,179
walk,-5360,2891,180
walk,-5316,2890,180
walk,-5261,2888,180
walk,-5219,2883,180
walk,-5180,2875,192
walk,-5139,2878,180
walk,-5109,2874,180
oldtrade,sell
oldtrade,buy,8400,Pomegranate
walk,-5145,2874,180
walk,-5185,2876,192
walk,-5233,2887,180
walk,-5268,2891,180
walk,-5307,2891,180
walk,-5343,2891,180
walk,-5368,2892,180
walk,-5400,2890,180
walk,-5426,2882,166
walk,-5456,2867,168
walk,-5488,2855,143
walk,-5522,2821,137
walk,-5546,2788,184
walk,-5568,2758,238
walk,-5587,2731,268
walk,-5602,2694,259
walk,-5611,2656,223
walk,-5626,2607,175
walk,-5646,2573,174
walk,-5669,2546,207
walk,-5699,2519,210
walk,-5731,2503,194
walk,-5773,2492,168
walk,-5801,2485,175
walk,-5851,2492,155
walk,-5888,2496,175
walk,-5925,2493,174
walk,-5957,2485,168
walk,-5987,2472,162
walk,-6014,2467,165
walk,-6044,2467,163
walk,-6075,2458,171
walk,-6109,2450,179
walk,-6150,2442,177
walk,-6185,2440,179
walk,-6220,2446,192
walk,-6257,2450,185
walk,-6296,2452,180
walk,-6335,2448,191
walk,-6376,2450,215
walk,-6421,2454,222
walk,-6463,2458,193
walk,-6502,2456,181
walk,-6538,2450,186
walk,-6574,2445,184
walk,-6608,2442,180
walk,-6644,2438,181
walk,-6684,2432,182
walk,-6726,2432,183
walk,-6765,2426,194
walk,-6800,2416,215
walk,-6838,2406,216
walk,-6869,2402,206
walk,-6908,2398,197
walk,-6944,2389,190
walk,-6987,2375,180
walk,-7030,2364,180
walk,-7067,2346,180
walk,-7100,2325,162
walk,-7134,2303,179
walk,-7160,2264,180
walk,-7180,2228,180
walk,-7202,2203,181
walk,-7232,2191,197
walk,-7265,2190,207
walk,-7301,2203,226
walk,-7335,2218,268
walk,-7364,2228,316
walk,-7404,2235,349
walk,-7434,2250,376
walk,-7459,2272,358
walk,-7480,2299,348
walk,-7498,2337,329
walk,-7515,2360,316
walk,-7543,2379,299
walk,-7577,2393,275
walk,-7615,2407,244
walk,-7652,2419,208
walk,-7692,2422,196
walk,-7736,2418,182
walk,-7777,2416,180
walk,-7818,2416,188
walk,-7860,2410,180
walk,-7901,2398,180
walk,-7933,2395,180
walk,-7976,2382,212
walk,-8004,2360,219
walk,-8029,2347,265
walk,-8058,2330,248
walk,-8089,2317,182
walk,-8127,2308,156
walk,-8166,2306,117
walk,-8200,2306,102
walk,-8243,2310,74
walk,-8280,2309,67
walk,-8320,2305,62
walk,-8358,2302,71
walk,-8400,2293,44
walk,-8442,2282,10
walk,-8491,2268,13
walk,-8526,2253,9
walk,-8572,2258,0
walk,-8610,2265,1
walk,-8649,2263,21
walk,-8677,2258,6
walk,-8696,2237,-3
walk,-8699,2219,-9
wait,500
teleport,Pirate Morgun,Harbor Manager Gale
wait,500
walk,-11476,1180,-247
walk,-11498,1200,-248
walk,-11514,1231,-242
walk,-11513,1261,-200
walk,-11505,1287,-166
walk,-11488,1317,-131
walk,-11467,1335,-67
walk,-11458,1362,-13
walk,-11455,1397,-4
walk,-11466,1437,0
walk,-11478,1471,0
walk,-11485,1503,0
walk,-11488,1530,-3
walk,-11487,1559,0
walk,-11487,1593,0
walk,-11496,1629,0
walk,-11506,1669,0
walk,-11509,1703,0
walk,-11507,1747,0
walk,-11492,1771,0
walk,-11488,1796,0
walk,-11492,1827,0
walk,-11495,1851,0
walk,-11494,1878,-4
walk,-11487,1908,0
walk,-11484,1936,21
walk,-11480,1972,0
walk,-11470,2005,0
walk,-11464,2036,0
walk,-11461,2067,-2
walk,-11464,2095,0
walk,-11471,2120,0
walk,-11478,2149,0
walk,-11479,2171,-6
walk,-11474,2202,-58
walk,-11490,2239,-86
walk,-11495,2273,-106
walk,-11490,2309,-126
walk,-11479,2333,-132
walk,-11457,2375,-130
walk,-11437,2414,-130
walk,-11435,2418,-137
walk,-11423,2438,-137
walk,-11403,2464,-138
walk,-11380,2491,-145
walk,-11355,2514,-156
walk,-11332,2541,-132
walk,-11299,2561,-109
walk,-11265,2570,-79
walk,-11232,2588,-39
walk,-11201,2617,-21
walk,-11174,2640,0
walk,-11141,2644,7
walk,-11103,2644,7
walk,-11058,2643,12
walk,-11032,2642,79
walk,-10980,2641,80
walk,-10948,2639,80
walk,-10912,2638,80
walk,-10873,2638,80
walk,-10839,2637,80
walk,-10804,2637,80
walk,-10769,2636,80
walk,-10739,2634,79
walk,-10723,2630,80
walk,-10725,2598,80
walk,-10725,2567,80
walk,-10714,2533,80
walk,-10711,2524,80


